date,code,name
2023-01-03,000032,深桑达A
2023-01-03,000045,深纺织A
2023-01-03,000409,云鼎科技
2023-01-03,000419,通程控股
2023-01-03,000607,华媒控股
2023-01-03,000665,湖北广电
2023-01-03,000698,ST沈化
2023-01-03,000716,黑芝麻
2023-01-03,000815,美利云
2023-01-03,000863,三湘印象
2023-01-03,000921,海信家电
2023-01-03,000948,南天信息
2023-01-03,001256,炜冈科技
2023-01-03,001301,尚太科技
2023-01-03,001308,康冠科技
2023-01-03,001339,智微智能
2023-01-03,002093,国脉科技
2023-01-03,002096,易普力
2023-01-03,002123,梦网科技
2023-01-03,002148,北纬科技
2023-01-03,002172,澳洋健康
2023-01-03,002184,海得控制
2023-01-03,002193,如意集团
2023-01-03,002231,*ST奥维
2023-01-03,002235,安妮股份
2023-01-03,002244,滨江集团
2023-01-03,002279,久其软件
2023-01-03,002289,*ST宇顺
2023-01-03,002308,*ST威创
2023-01-03,002317,众生药业
2023-01-03,002336,人乐退
2023-01-03,002343,慈文传媒
2023-01-03,002368,太极股份
2023-01-03,002394,联发股份
2023-01-03,002401,中远海科
2023-01-03,002446,盛路通信
2023-01-03,002467,二六三
2023-01-03,002474,榕基软件
2023-01-03,002487,大金重工
2023-01-03,002528,ST英飞拓
2023-01-03,002591,恒大高新
2023-01-03,002615,哈尔斯
2023-01-03,002650,ST加加
2023-01-03,002679,福建金森
2023-01-03,002693,*ST双成
2023-01-03,002826,易明医药
2023-01-03,002827,高争民爆
2023-01-03,002912,中新赛克
2023-01-03,002940,昂利康
2023-01-03,002965,祥鑫科技
2023-01-03,002968,新大正
2023-01-03,002995,天地在线
2023-01-03,600027,华电国际
2023-01-03,600050,中国联通
2023-01-03,600062,华润双鹤
2023-01-03,600223,福瑞达
2023-01-03,600225,退市卓朗
2023-01-03,600319,亚星化学
2023-01-03,600410,华胜天成
2023-01-03,600520,三佳科技
2023-01-03,600664,哈药股份
2023-01-03,600766,退市园城
2023-01-03,600785,新华百货
2023-01-03,600818,中路股份
2023-01-03,600880,博瑞传播
2023-01-03,603000,人民网
2023-01-03,603102,百合股份
2023-01-03,603106,恒银科技
2023-01-03,603138,海量数据
2023-01-03,603171,税友股份
2023-01-03,603189,网达软件
2023-01-03,603232,格尔软件
2023-01-03,603233,大参林
2023-01-03,603283,赛腾股份
2023-01-03,603496,恒为科技
2023-01-03,603529,爱玛科技
2023-01-03,603530,神马电力
2023-01-03,603580,*ST艾艾
2023-01-03,603721,*ST天择
2023-01-03,603758,秦安股份
2023-01-03,603790,雅运股份
2023-01-03,603881,数据港
2023-01-03,603912,佳力图
2023-01-03,603918,金桥信息
2023-01-03,603936,博敏电子
2023-01-03,603998,方盛制药
2023-01-03,605286,同力天启
2023-01-04,000032,深桑达A
2023-01-04,000620,盈新发展
2023-01-04,000691,*ST亚太
2023-01-04,000779,甘咨询
2023-01-04,000863,三湘印象
2023-01-04,000909,ST数源
2023-01-04,000938,紫光股份
2023-01-04,000948,南天信息
2023-01-04,001301,尚太科技
2023-01-04,002012,凯恩股份
2023-01-04,002031,巨轮智能
2023-01-04,002043,兔宝宝
2023-01-04,002150,正泰电源
2023-01-04,002184,海得控制
2023-01-04,002235,安妮股份
2023-01-04,002279,久其软件
2023-01-04,002343,慈文传媒
2023-01-04,002401,中远海科
2023-01-04,002467,二六三
2023-01-04,002615,哈尔斯
2023-01-04,002640,跨境通
2023-01-04,002696,百洋股份
2023-01-04,002798,帝欧水华
2023-01-04,002822,ST中装
2023-01-04,002845,同兴达
2023-01-04,002853,皮阿诺
2023-01-04,002862,实丰文化
2023-01-04,002918,蒙娜丽莎
2023-01-04,002956,西麦食品
2023-01-04,002988,豪美新材
2023-01-04,003004,*ST声迅
2023-01-04,600520,三佳科技
2023-01-04,600785,新华百货
2023-01-04,600963,岳阳林纸
2023-01-04,600992,贵绳股份
2023-01-04,601155,新城控股
2023-01-04,601163,三角轮胎
2023-01-04,603099,长白山
2023-01-04,603213,镇洋发展
2023-01-04,603222,济民健康
2023-01-04,603378,亚士创能
2023-01-04,603439,三力制药
2023-01-04,603801,志邦家居
2023-01-04,603912,佳力图
2023-01-04,605336,帅丰电器
2023-01-05,000596,古井贡酒
2023-01-05,000615,*ST美谷
2023-01-05,000815,美利云
2023-01-05,000836,ST富通
2023-01-05,000909,ST数源
2023-01-05,000929,*ST兰黄
2023-01-05,000938,紫光股份
2023-01-05,001223,欧克科技
2023-01-05,001301,尚太科技
2023-01-05,002010,传化智联
2023-01-05,002043,兔宝宝
2023-01-05,002137,实益达
2023-01-05,002184,海得控制
2023-01-05,002193,如意集团
2023-01-05,002196,方正电机
2023-01-05,002231,*ST奥维
2023-01-05,002241,歌尔股份
2023-01-05,002401,中远海科
2023-01-05,002441,众业达
2023-01-05,002576,通达动力
2023-01-05,002615,哈尔斯
2023-01-05,002760,凤形股份
2023-01-05,002812,恩捷股份
2023-01-05,002850,科达利
2023-01-05,002869,金溢科技
2023-01-05,002888,惠威科技
2023-01-05,002906,华阳集团
2023-01-05,002911,佛燃能源
2023-01-05,002920,德赛西威
2023-01-05,003007,直真科技
2023-01-05,003010,若羽臣
2023-01-05,003027,同兴科技
2023-01-05,600095,湘财股份
2023-01-05,600898,*ST美讯
2023-01-05,603105,芯能科技
2023-01-05,603197,保隆科技
2023-01-05,603390,通达电气
2023-01-05,603728,鸣志电器
2023-01-05,603773,沃格光电
2023-01-05,605133,嵘泰股份
2023-01-05,605168,三人行
2023-01-06,000040,*ST旭蓝
2023-01-06,000301,东方盛虹
2023-01-06,000637,茂化实华
2023-01-06,000716,黑芝麻
2023-01-06,000719,中原传媒
2023-01-06,000755,山西高速
2023-01-06,000909,ST数源
2023-01-06,001269,欧晶科技
2023-01-06,002441,众业达
2023-01-06,002576,通达动力
2023-01-06,002626,金达威
2023-01-06,002683,广东宏大
2023-01-06,002846,英联股份
2023-01-06,002863,今飞凯达
2023-01-06,002865,钧达股份
2023-01-06,002885,京泉华
2023-01-06,002897,意华股份
2023-01-06,003022,联泓新科
2023-01-06,003027,同兴科技
2023-01-06,003038,鑫铂股份
2023-01-06,600732,爱旭股份
2023-01-06,601865,福莱特
2023-01-06,603051,鹿山新材
2023-01-06,603105,芯能科技
2023-01-06,603213,镇洋发展
2023-01-06,603255,鼎际得
2023-01-06,603348,文灿股份
2023-01-06,603390,通达电气
2023-01-06,603628,清源股份
2023-01-06,603806,福斯特
2023-01-06,605268,王力安防
2023-01-09,000637,茂化实华
2023-01-09,000737,北方铜业
2023-01-09,000913,钱江摩托
2023-01-09,001223,欧克科技
2023-01-09,001255,博菲电气
2023-01-09,001298,好上好
2023-01-09,001330,博纳影业
2023-01-09,002083,孚日股份
2023-01-09,002195,岩山科技
2023-01-09,002272,川润股份
2023-01-09,002295,精艺股份
2023-01-09,002333,罗普斯金
2023-01-09,002441,众业达
2023-01-09,002453,华软科技
2023-01-09,002494,华斯股份
2023-01-09,002528,ST英飞拓
2023-01-09,002576,通达动力
2023-01-09,002645,华宏科技
2023-01-09,002646,天佑德酒
2023-01-09,002721,金一文化
2023-01-09,002892,科力尔
2023-01-09,002902,铭普光磁
2023-01-09,003035,南网能源
2023-01-09,600197,伊力特
2023-01-09,600446,金证股份
2023-01-09,600658,电子城
2023-01-09,600661,昂立教育
2023-01-09,600961,株冶集团
2023-01-09,600996,贵广网络
2023-01-09,601137,博威合金
2023-01-09,601216,君正集团
2023-01-09,601519,大智慧
2023-01-09,603090,宏盛股份
2023-01-09,603129,春风动力
2023-01-09,603283,赛腾股份
2023-01-09,603595,ST东尼
2023-01-09,603668,天马科技
2023-01-09,605177,东亚药业
2023-01-09,605218,伟时电子
2023-01-09,605289,罗曼股份
2023-01-10,000025,特力A
2023-01-10,000570,苏常柴A
2023-01-10,000716,黑芝麻
2023-01-10,001298,好上好
2023-01-10,002043,兔宝宝
2023-01-10,002103,广博股份
2023-01-10,002150,正泰电源
2023-01-10,002195,岩山科技
2023-01-10,002235,安妮股份
2023-01-10,002238,天威视讯
2023-01-10,002279,久其软件
2023-01-10,002291,遥望科技
2023-01-10,002558,巨人网络
