bs_code,name,target_date,buy_date,entry_px,exit_date,exit_px,exit_reason,ret,pnl,ret_sum_by_stock
sh.600808,马钢股份,2025-08-06,2025-08-06,3.8,2025-09-16,3.67,hold_30d_close,-0.03481052631578947,-0.03481052631578947,-0.1075965112111714
sh.600808,马钢股份,2025-08-07,2025-08-07,4.1,2025-09-17,3.64,hold_30d_close,-0.1127951219512194,-0.1127951219512194,-0.1075965112111714
sh.600808,马钢股份,2025-09-30,2025-09-30,3.94,2025-11-18,4.1,hold_30d_close,0.04000913705583746,0.04000913705583746,-0.1075965112111714
sh.600810,神马股份,2025-10-13,2025-10-13,10.88,2025-11-21,8.58,hold_30d_close,-0.21199705882352943,-0.21199705882352943,-0.21199705882352943
sh.600814,杭州解百,2026-02-06,2026-02-06,10.78,2026-02-13,8.44,hold_30d_close,-0.2176686456400742,-0.2176686456400742,-0.2176686456400742
sh.600815,厦工股份,2025-07-22,2025-07-22,3.34,2025-09-01,2.75,hold_30d_close,-0.17724670658682634,-0.17724670658682634,-0.17724670658682634
sh.600820,隧道股份,2025-07-23,2025-07-23,7.43985062,2025-09-02,6.40739808,hold_30d_close,-0.13937328897229923,-0.13937328897229923,-0.13937328897229923
sh.600824,益民集团,2025-12-26,2025-12-26,5.3,2026-02-09,4.62,hold_30d_close,-0.1289018867924528,-0.1289018867924528,-0.1289018867924528
sh.600825,新华传媒,2025-07-28,2025-07-28,7.97,2025-09-05,6.81,hold_30d_close,-0.14614579673776668,-0.14614579673776668,-0.14614579673776668
sh.600826,兰生股份,2025-07-14,2025-07-14,9.83187647,2025-08-22,11.14411883,hold_30d_close,0.13286814964610721,0.13286814964610721,0.09810148297944053
sh.600826,兰生股份,2025-11-21,2025-11-21,12.0,2026-01-05,11.59,hold_30d_close,-0.03476666666666668,-0.03476666666666668,0.09810148297944053
sh.600828,茂业商业,2025-09-05,2025-09-05,4.6,2025-10-24,4.04,hold_30d_close,-0.12233913043478258,-0.12233913043478258,0.17562937672268164
sh.600828,茂业商业,2025-11-26,2025-11-26,4.89,2026-01-08,6.35,hold_30d_close,0.2979685071574642,0.2979685071574642,0.17562937672268164
sh.600831,广电网络,2025-11-12,2025-11-12,5.66,2025-12-23,4.31,hold_30d_close,-0.2391159010600708,-0.2391159010600708,-0.2391159010600708
sh.600833,第一医药,2025-09-02,2025-09-02,15.31,2025-10-21,13.64,hold_30d_close,-0.1096790333115611,-0.1096790333115611,-0.1096790333115611
sh.600834,申通地铁,2025-05-30,2025-05-30,9.49778032,2025-07-11,8.91913404,hold_30d_close,-0.06152436974789928,-0.06152436974789928,-0.06152436974789928
sh.600838,上海九百,2025-12-19,2025-12-19,10.09,2026-02-02,11.87,hold_30d_close,0.17581228939544097,0.17581228939544097,0.17581228939544097
