x_date,raw_sample_size,effective_sample_size,hit_count,prob
2025-01-02,67,67,62,0.9253731343283582
2025-01-03,50,50,46,0.92
2025-01-06,67,67,64,0.9552238805970149
2025-01-07,133,133,128,0.9624060150375939
2025-01-08,76,76,73,0.9605263157894737
2025-01-09,99,99,91,0.9191919191919192
2025-01-10,49,49,48,0.9795918367346939
2025-01-13,61,61,60,0.9836065573770492
2025-01-14,219,219,212,0.9680365296803652
2025-01-15,68,68,64,0.9411764705882353
2025-01-16,83,83,78,0.9397590361445783
2025-01-17,71,71,69,0.971830985915493
2025-01-20,84,84,78,0.9285714285714286
2025-01-21,65,65,62,0.9538461538461539
2025-01-22,50,50,49,0.98
2025-01-23,49,49,46,0.9387755102040817
2025-01-24,99,99,90,0.9090909090909091
2025-01-27,49,49,47,0.9591836734693877
2025-02-05,110,110,110,1.0
2025-02-06,142,142,141,0.9929577464788732
2025-02-07,107,107,102,0.9532710280373832
2025-02-10,162,162,153,0.9444444444444444
2025-02-11,80,80,75,0.9375
2025-02-12,104,104,100,0.9615384615384616
2025-02-13,75,75,69,0.92
2025-02-14,111,111,107,0.963963963963964
2025-02-17,158,158,147,0.930379746835443
2025-02-18,55,55,54,0.9818181818181818
2025-02-19,180,180,178,0.9888888888888889
2025-02-20,120,120,111,0.925
2025-02-21,154,154,141,0.9155844155844156
2025-02-24,111,111,102,0.918918918918919
2025-02-25,84,84,81,0.9642857142857143
2025-02-26,134,133,121,0.9097744360902256
2025-02-27,96,96,83,0.8645833333333334
2025-02-28,49,49,46,0.9387755102040817
2025-03-03,81,81,70,0.8641975308641975
2025-03-04,103,103,99,0.9611650485436893
2025-03-05,86,86,85,0.9883720930232558
2025-03-06,154,154,148,0.961038961038961
2025-03-07,70,70,62,0.8857142857142857
2025-03-10,97,97,91,0.9381443298969072
2025-03-11,69,69,67,0.9710144927536232
2025-03-12,101,101,89,0.8811881188118812
2025-03-13,50,50,42,0.84
2025-03-14,112,112,101,0.9017857142857143
2025-03-17,86,86,80,0.9302325581395349
2025-03-18,85,85,80,0.9411764705882353
2025-03-19,61,61,58,0.9508196721311475
2025-03-20,77,77,61,0.7922077922077922
2025-03-21,58,58,46,0.7931034482758621
2025-03-24,55,55,52,0.9454545454545454
2025-03-25,58,58,48,0.8275862068965517
2025-03-26,95,95,75,0.7894736842105263
2025-03-27,60,60,52,0.8666666666666667
2025-03-28,42,42,40,0.9523809523809523
2025-03-31,44,44,42,0.9545454545454546
2025-04-01,79,79,71,0.8987341772151899
2025-04-02,54,54,48,0.8888888888888888
2025-04-03,57,57,49,0.8596491228070176
2025-04-07,25,25,25,1.0
2025-04-08,169,169,166,0.9822485207100592
